year,est,lower,upper,cv
1976,187910.2999,,,
1977,347576.4779,,,
1978,241158.5789,,,
1979,233989.144,,,
1980,358448.4016,,,
1981,307930.6887,,,
1982,172511.6415,,,
1983,148235.8699,,,
1984,175572.0976,,,
1985,145213.6907,,,
1986,123750.3093,,,
1987,182985.2077,,,
1988,206677.2789,,,
1989,214319.0468,,,
1990,267866.3374,,,
1991,215536.6157,,,
1992,260628.7986,,,
1993,272331.9225,,,
1994,397421.7657,,,
1995,371429.5139,,,
1996,320788.702,,,
1997,262369.4725,,,
1998,254071.6455,,,
1999,160317.4428,,,
2000,122208.418,,,
2001,192406.7939,,,
2002,238254,,,
2003,231661,,,
2004,365471,,,
2005,327073.7858,,,
2006,324216.4824,,,
2007,248613,,,
2008,214954.8755,,,
2009,195103.1642,,,
2010,116080.8136,,,
2011,114559.6849,,,
2012,75002.31921,,,
2013,88432.14504,,,
2014,81943,,,
2015,125543.8327,,,
2016,130505.05,,,
2017,131652.44,,,
2018,136094,,,
2019,227108,,,
2020,116196,,,
